日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
106/01/03,"7,751,041","201,595,267",25.40,26.40,25.35,26.35,+1.15,"3,792"
106/01/04,"5,872,483","155,642,697",26.40,26.65,26.25,26.50,+0.15,"3,348"
106/01/05,"6,843,635","183,392,102",26.65,26.90,26.55,26.90,+0.40,"3,415"
106/01/06,"9,319,434","252,221,203",27.05,27.15,26.95,27.10,+0.20,"3,899"
106/01/09,"6,333,465","169,917,452",27.05,27.05,26.70,26.70,-0.40,"2,796"
106/01/10,"3,824,742","102,544,630",26.75,26.90,26.75,26.80,+0.10,"2,284"
106/01/11,"3,454,923","92,754,682",26.85,27.00,26.70,26.95,+0.15,"1,928"
106/01/12,"5,610,665","149,999,440",26.70,26.85,26.65,26.70,-0.25,"2,740"
106/01/13,"5,709,155","150,467,170",26.45,26.60,26.25,26.25,-0.45,"3,062"
106/01/16,"4,685,406","123,112,221",26.10,26.45,26.05,26.45,+0.20,"2,914"
106/01/17,"2,411,529","63,953,166",26.25,26.65,26.25,26.55,+0.10,"1,600"
106/01/18,"5,503,917","147,468,326",26.60,26.95,26.50,26.85,+0.30,"3,034"
106/01/19,"2,755,138","73,606,912",26.90,26.95,26.55,26.55,-0.30,"1,669"
106/01/20,"2,087,139","55,245,415",26.50,26.65,26.40,26.45,-0.10,"1,427"
106/01/23,"3,365,054","89,259,263",26.80,26.80,26.40,26.45, 0.00,"1,722"
106/01/24,"8,719,255","234,702,385",26.50,27.15,26.50,27.00,+0.55,"4,190"
106/02/02,"7,399,923","202,212,095",27.15,27.45,27.10,27.30,+0.30,"3,337"
106/02/03,"5,619,101","154,157,902",27.30,27.60,27.20,27.40,+0.10,"2,888"
106/02/06,"15,203,000","426,856,350",27.40,28.45,27.40,28.15,+0.75,"5,865"
106/02/07,"24,961,724","714,642,211",28.20,28.90,28.15,28.75,+0.60,"7,896"
106/02/08,"10,802,904","310,403,349",28.75,28.95,28.25,28.70,-0.05,"3,938"
106/02/09,"10,973,472","317,181,574",28.70,29.00,28.70,28.90,+0.20,"5,081"
106/02/10,"13,006,931","377,922,142",29.20,29.20,28.65,28.65,-0.25,"5,326"
106/02/13,"15,128,649","445,071,862",28.90,29.75,28.75,29.50,+0.85,"7,189"
106/02/14,"10,885,500","319,242,509",29.40,29.70,29.05,29.10,-0.40,"3,886"
106/02/15,"14,715,179","435,054,211",29.15,29.80,29.10,29.70,+0.60,"6,564"
106/02/16,"8,145,204","240,392,794",30.00,30.00,29.25,29.85,+0.15,"3,400"
106/02/17,"10,652,396","312,597,084",29.85,29.85,29.15,29.35,-0.50,"3,893"
106/02/18,"4,545,443","133,648,852",29.25,29.65,29.10,29.30,-0.05,"1,511"
106/02/20,"6,622,844","193,342,526",29.55,29.60,29.00,29.00,-0.30,"2,936"
106/02/21,"5,625,667","161,921,242",29.00,29.20,28.45,28.90,-0.10,"2,726"
106/02/22,"5,458,891","158,683,650",29.15,29.30,28.90,29.30,+0.40,"2,508"
106/02/23,"6,998,723","202,143,434",28.95,29.25,28.65,28.65,-0.65,"3,186"
106/02/24,"4,141,735","119,451,580",28.75,28.95,28.70,28.75,+0.10,"2,643"
106/03/01,"5,135,813","146,682,504",28.85,28.90,28.35,28.70,-0.05,"2,345"
106/03/02,"4,458,869","126,774,634",28.95,28.95,28.25,28.30,-0.40,"2,213"
106/03/03,"16,013,751","444,620,315",28.10,28.20,27.50,27.60,-0.70,"5,335"
106/03/06,"11,817,294","327,679,829",28.00,28.05,27.50,27.65,+0.05,"4,770"
106/03/07,"9,430,664","260,421,504",27.60,27.80,27.45,27.55,-0.10,"4,189"
106/03/08,"10,493,040","291,825,228",27.60,28.20,27.35,28.05,+0.50,"3,945"
106/03/09,"10,586,359","292,459,802",28.00,28.00,27.50,27.60,-0.45,"4,593"
106/03/10,"7,905,314","216,024,270",27.60,27.60,27.15,27.25,-0.35,"3,915"
106/03/13,"6,249,425","173,174,543",27.40,27.85,27.30,27.70,+0.45,"3,250"
106/03/14,"8,149,870","225,967,909",27.70,27.90,27.55,27.65,-0.05,"3,789"
106/03/15,"6,388,815","177,417,767",27.75,27.90,27.65,27.75,+0.10,"2,933"
106/03/16,"20,271,620","566,097,889",27.90,28.30,27.70,27.70,-0.05,"4,328"
106/03/17,"15,824,441","434,022,924",27.70,27.70,27.30,27.40,-0.30,"7,577"
106/03/20,"4,846,692","133,227,572",27.40,27.60,27.35,27.50,+0.10,"2,123"
106/03/21,"8,313,065","227,992,032",27.45,27.60,27.30,27.40,-0.10,"4,173"
